benchmark,mode,runs,n_cells,iters_used_avg,converged_frac,reverted_frac,hpwl_final_avg,max_bin_density_final_avg,cg_avg_ms_avg,cg_total_ms_avg,placer_total_ms_avg,hw_cg_avg_cycles_avg,hw_cg_total_cycles_avg
dense_pack_36,arm,5,36,6,0.0,1.0,3093.0,1.0,1.0606,8.4854,71.8782,,
dense_pack_36,fpga,5,36,6,0.0,1.0,3265.0,1.0,0.151,1.2082,68.6032,,
mesh_grid_25,arm,5,25,1,1.0,0.0,6643.0,0.7,1.2868,2.5728,62.4252,,
mesh_grid_25,fpga,5,25,1,1.0,0.0,6643.0,0.7,0.155,0.31,63.533,,
mixed_macro_10,arm,5,10,5,0.0,1.0,1132.0,1.0,0.5182,3.6264,36.3232,,
mixed_macro_10,fpga,5,10,5,0.0,1.0,1132.0,2.0,0.0398,0.2782,38.494,,
parallel_chains_50,arm,5,50,5,0.0,1.0,5661.0,0.8,2.8198,19.7382,106.1926,,
parallel_chains_50,fpga,5,50,6,0.0,1.0,6546.0,7.2,0.19920000000000002,1.5944,95.461,,
simple_logic_10,arm,5,10,3,0.0,1.0,8720.0,1.0,0.3046,1.5216,31.5166,,
simple_logic_10,fpga,5,10,3,0.0,1.0,8720.0,1.0,0.0468,0.2342,34.1744,,
size_extremes_mix,arm,5,34,16,0.0,0.0,1590.0,2.0,0.6638000000000001,11.2836,107.175,,
size_extremes_mix,fpga,5,34,16,0.0,0.0,5314.0,3.36,0.0924,1.5722,100.7598,,
star_fanout_31,arm,5,31,4,1.0,0.0,2796.0,0.72,1.476,7.381,62.8056,,
star_fanout_31,fpga,5,31,4,1.0,0.0,2931.0,0.72,0.3286,1.643,59.7426,,
two_clusters_bridge,arm,5,32,4,1.0,0.0,2891.0,0.68,3.2601999999999998,16.3002,77.5544,,
two_clusters_bridge,fpga,5,32,3,1.0,0.0,2231.0,0.55,0.35919999999999996,1.4372,65.4366,,
